Old Ingredients,Main Ingredient,Nb Words
stuffing,,1
sugar,,1
sultana,,1
sunflower oil,sunflower,2
sweet pepper,sweet,2
sweetcorn,,1
sweets,,1
swordfish,,1
tangerine,,1
tapioca,,1
tarragon,,1
tartar,,1
tea,,1
tequila,,1
thyme,,1
toast,,1
toffee,,1
tofu,,1
tomatillos,,1
tomato,,1
tomato puree,tomato,2
tomatoes,,1
tortilla,,1
treacle,,1
tuna steak,tuna,2
tuna,,1
turkey,,1
turkey breast,turkey,2
turkey thigh,turkey,2
turmeric,,1
turnip,,1
vanilla,,1
vanilla essence,vanilla,2
vanilla pod,vanilla,2
veal,,1
vegetable oil,vegetable,2
vermouth,,1
vinaigrette,,1
vinegar,,1
vodka,,1
waffle,,1
walnut,,1
watercress,,1
watermelon,,1
white rice,white,2
wholegrain pasta,wholegrain,2
wine,,1
worcestershire sauce,worcestershire,2
yeast,,1
yellow pepper,yellow,2
greek yoghurt,greek,2
natural yoghurt,natural,2
yoghurt,,1
yogurt,,1
red onion,red,2
